dataset,rouge1,rougeL,perplexity
daily_dialog,0.06875322542954121,0.06875322542954121,5340.03252307887
empathetic,0.07850549939426223,0.06863675829104494,3583.8383936002765
custom,0.07668413208195154,0.07668413208195154,1924.4809525356095
